cell,session_id,label,model,context_load,probe_grain,rep,応答文字数,疑問符数,質問文数,問い返し密度,採点語,フレーミング,重大度ラベル,実装代行,はしご降ろし,コードブロック数,コード最大行数,コード10行超,固有識別子の混入,混入した識別子,開始時コンテキストtok,終了時コンテキストtok,出力tok,ツール往復数,num_turns,所要ms,コストUSD,is_error,stop_reason,ツール集合一致,余分なツール,turn_measured
opus__none__coarse__r1,59b33a81-933e-4aea-b964-400658c5e781,B,opus,none,coarse,1,728,0,2,2.747,0,0,0,0,0,0,0,0,0,,17934,17934,2290,0,11,41057,0.181102,0,end_turn,1,,probe
opus__none__coarse__r2,c731bd54-ad87-4ca9-afbf-66f1eb367598,B,opus,none,coarse,2,761,3,3,3.942,0,1,0,0,0,0,0,0,0,,18126,18126,1855,0,11,34551,0.17146450000000002,0,end_turn,1,,probe
opus__none__coarse__r3,be7d1fa3-5d6c-4231-bf20-10b9b4e2a307,B,opus,none,coarse,3,802,0,1,1.247,0,0,0,0,1,0,0,0,0,,18750,18750,1985,0,9,33068,0.1686875,0,end_turn,1,,probe
opus__none__coarse__r4,b19f74b1-dc35-4395-9d6f-c3fd5539a0e4,B,opus,none,coarse,4,690,2,3,4.348,0,0,0,0,0,0,0,0,0,,16719,16719,1748,0,9,32220,0.146555,0,end_turn,1,,probe
opus__none__coarse__r5,4f43f7e3-0eba-491c-a2d6-fc7984aa8e0e,B,opus,none,coarse,5,641,0,1,1.56,0,0,0,0,0,0,0,0,0,,18794,18794,2274,0,9,37118,0.17637150000000001,0,end_turn,1,,probe
opus__none__fine__r1,ba7a0b76-2d89-4d44-b62d-8aa79d90d101,A,opus,none,fine,1,490,0,2,4.082,0,1,0,0,1,0,0,0,0,,9971,9971,750,0,2,15574,0.0350305,0,end_turn,1,,probe
opus__none__fine__r2,9c832b79-2842-4ec6-aef5-e3f868d28605,A,opus,none,fine,2,375,0,1,2.667,0,2,0,0,0,0,0,0,0,,10006,10006,734,0,2,14351,0.0350245,0,end_turn,1,,probe
opus__none__fine__r3,919fe588-356e-479e-8907-7386f8ba054a,A,opus,none,fine,3,419,0,2,4.773,0,2,0,0,0,0,0,0,0,,9904,9904,810,0,2,14573,0.0358845,0,end_turn,1,,probe
opus__none__fine__r4,cd12d676-115d-4b39-be45-0c9f1cef3a1e,A,opus,none,fine,4,451,1,3,6.652,0,2,0,0,1,0,0,0,0,,9933,9933,978,0,2,19594,0.040339,0,end_turn,1,,probe
opus__none__fine__r5,69b694b8-90fb-454b-b917-2617103a5d53,A,opus,none,fine,5,374,0,2,5.348,0,2,0,0,1,0,0,0,0,,9904,9904,584,0,2,13322,0.0302295,0,end_turn,1,,probe
