cell,session_id,label,model,context_load,probe_grain,rep,応答文字数,疑問符数,質問文数,問い返し密度,採点語,フレーミング,重大度ラベル,実装代行,はしご降ろし,コードブロック数,コード最大行数,コード10行超,固有識別子の混入,混入した識別子,開始時コンテキストtok,終了時コンテキストtok,出力tok,ツール往復数,num_turns,所要ms,コストUSD,is_error,stop_reason,ツール集合一致,余分なツール,turn_measured
opus__none__coarse__r1,b4d95daa-3462-427a-a3a0-77b1a7bb1e2b,B,opus,none,coarse,1,750,1,2,2.667,0,0,0,0,0,0,0,0,0,,19704,19704,2512,0,11,38900,0.191859,0,end_turn,1,,probe
opus__none__coarse__r2,84602305-41f0-490e-aa2b-f6e85d62adb7,B,opus,none,coarse,2,679,1,2,2.946,0,0,0,0,0,0,0,0,0,,17763,17763,1560,0,9,26688,0.142049,0,end_turn,1,,probe
opus__none__coarse__r3,377a95c9-001c-466a-bd8d-1b9f2ca7158a,B,opus,none,coarse,3,742,0,2,2.695,0,0,0,0,0,0,0,0,0,,19411,19411,2561,0,13,40372,0.1950275,0,end_turn,1,,probe
opus__none__coarse__r4,89c4ec3e-758f-4424-9b3d-1b2107b8ad1e,B,opus,none,coarse,4,659,0,1,1.517,0,0,0,0,0,0,0,0,0,,20172,20172,2212,0,11,32160,0.1831715,0,end_turn,1,,probe
opus__none__coarse__r5,2ac2867b-88fd-40cf-980e-2932fb3226ae,B,opus,none,coarse,5,701,2,3,4.28,0,0,0,0,0,0,0,0,0,,19088,19088,1813,0,12,30126,0.17617,0,end_turn,1,,probe
opus__none__fine__r1,64a7c5c4-4d69-4865-ad6b-d78b8c8791cd,A,opus,none,fine,1,357,0,1,2.801,0,1,0,0,0,0,0,0,0,,10603,10603,954,0,2,18323,0.040355499999999996,0,end_turn,1,,probe
opus__none__fine__r2,dbf5eba8-4808-4d1b-be0a-b4fdf3e8fbca,A,opus,none,fine,2,394,1,2,5.076,0,2,0,0,0,0,0,0,0,,10639,10639,1008,0,2,17810,0.042058,0,end_turn,1,,probe
opus__none__fine__r3,22f2ec58-8322-4603-a03d-f022271a3dc0,A,opus,none,fine,3,369,2,3,8.13,0,0,0,0,1,0,0,0,0,,10582,10582,654,0,2,12424,0.032675499999999996,0,end_turn,1,,probe
opus__none__fine__r4,74433089-768f-4d09-8016-b6a38b730183,A,opus,none,fine,4,424,0,2,4.717,0,1,0,0,0,0,0,0,0,,10655,10655,1044,0,2,19461,0.0432105,0,end_turn,1,,probe
opus__none__fine__r5,575ce2f6-7c5d-470b-9730-22a53585c14a,A,opus,none,fine,5,363,0,1,2.755,0,0,0,0,0,0,0,0,0,,10815,10815,884,0,2,16735,0.04079049999999999,0,end_turn,1,,probe
opus__repo_sweep__coarse__r1,f763309f-7155-4823-8528-f68aff531974,F,opus,repo_sweep,coarse,1,1298,2,3,2.311,0,0,0,0,0,1,3,0,0,,25115,25115,2267,0,7,37248,0.15183649999999999,0,end_turn,1,,probe
opus__repo_sweep__coarse__r2,3b2e8bed-a8e3-46ac-8180-aa8db93e9af6,F,opus,repo_sweep,coarse,2,969,0,3,3.096,0,0,0,0,0,0,0,0,0,,24126,24126,1902,0,7,30720,0.1380605,0,end_turn,1,,probe
opus__repo_sweep__coarse__r3,a2547c9f-5fb0-4072-a286-ef0d3a4ceebe,F,opus,repo_sweep,coarse,3,1250,0,2,1.6,0,0,0,0,0,0,0,0,0,,21375,21375,2256,0,5,35399,0.13536749999999997,0,end_turn,1,,probe
opus__repo_sweep__coarse__r4,13e9dc80-e3ef-4e4b-86b5-27104d3c91db,F,opus,repo_sweep,coarse,4,1242,2,3,2.415,0,0,0,0,0,1,10,0,0,,22133,22133,2009,0,5,31873,0.117788,0,end_turn,1,,probe
opus__repo_sweep__coarse__r5,179cb9bd-9670-4497-8ec8-1b1c38e3314b,F,opus,repo_sweep,coarse,5,1161,0,2,1.723,0,0,0,0,1,0,0,0,0,,24011,24011,1888,0,7,31668,0.1427675,0,end_turn,1,,probe
opus__repo_sweep__fine__r1,9fc94ddd-dd85-4535-a6d1-9a3a4fc48eb4,E,opus,repo_sweep,fine,1,418,0,1,2.392,0,2,0,0,0,0,0,0,0,,19372,19372,1269,0,2,22519,0.072639,0,end_turn,1,,probe
opus__repo_sweep__fine__r2,9ac649ed-adf7-4df3-affd-5f2eac52e03c,E,opus,repo_sweep,fine,2,517,2,3,5.803,0,2,0,0,0,0,0,0,0,,21295,21295,1293,0,2,24592,0.0714585,0,end_turn,1,,probe
opus__repo_sweep__fine__r3,6de357f1-3bf0-4b85-8208-7380701397e6,E,opus,repo_sweep,fine,3,422,0,2,4.739,0,0,0,0,0,0,0,0,0,,17630,17630,928,0,2,17788,0.0556145,0,end_turn,1,,probe
opus__repo_sweep__fine__r4,50772081-40fb-466b-885e-96e8d19ca4ae,E,opus,repo_sweep,fine,4,401,0,2,4.988,0,1,0,0,0,0,0,0,0,,17528,17528,1298,0,2,23585,0.065865,0,end_turn,1,,probe
opus__repo_sweep__fine__r5,524fc6aa-25d8-443f-8923-b38be82ca473,E,opus,repo_sweep,fine,5,430,2,2,4.651,0,2,0,0,1,0,0,0,0,,20506,20506,916,0,2,16985,0.0606325,0,end_turn,1,,probe
