cell,session_id,label,model,context_load,probe_grain,rep,応答文字数,疑問符数,質問文数,問い返し密度,採点語,フレーミング,重大度ラベル,実装代行,はしご降ろし,コードブロック数,コード最大行数,コード10行超,固有識別子の混入,混入した識別子,開始時コンテキストtok,終了時コンテキストtok,出力tok,ツール往復数,num_turns,所要ms,コストUSD,is_error,stop_reason,ツール集合一致,余分なツール,turn_measured
sonnet__explain_two__coarse__r1,aa7669cf-6497-48ae-adf3-80561a686b6e,J,sonnet,explain_two,coarse,1,513,0,1,1.949,0,0,0,0,0,0,0,0,0,,23604,23604,1921,0,6,31753,0.0564362,0,end_turn,1,,probe
sonnet__explain_two__coarse__r2,8ad4cfb7-41b9-4ecb-9b21-d82d99b6eb02,J,sonnet,explain_two,coarse,2,593,2,2,3.373,0,0,0,0,0,0,0,0,0,,23134,23134,2289,0,7,25467,0.0653126,0,end_turn,1,,probe
sonnet__explain_two__coarse__r3,4f2a6711-1417-4200-8f28-ab5b8142d0c2,J,sonnet,explain_two,coarse,3,694,1,1,1.441,0,0,0,0,0,0,0,0,0,,21755,21755,2780,0,5,29609,0.057338599999999997,0,end_turn,1,,probe
sonnet__explain_two__coarse__r4,ea889f97-a05b-47ed-86d4-d9a194edfade,J,sonnet,explain_two,coarse,4,600,0,0,0.0,0,0,0,0,0,0,0,0,0,,23130,23130,1594,0,6,27591,0.0568926,0,end_turn,1,,probe
sonnet__explain_two__coarse__r5,61424c35-556d-4003-9395-2408fbe3462b,J,sonnet,explain_two,coarse,5,509,1,2,3.929,0,0,0,0,0,0,0,0,0,,24291,24291,2537,0,7,28130,0.069518,0,end_turn,1,,probe
sonnet__explain_two__fine__r1,7f60ee3e-f4c7-4bad-bafd-51f6e75b5e3c,I,sonnet,explain_two,fine,1,187,1,1,5.348,0,0,0,0,0,0,0,0,0,,18087,18087,885,0,2,11900,0.022278,0,end_turn,1,,probe
sonnet__explain_two__fine__r2,cb047d1d-f1d3-453a-9c40-4a04c12d5496,I,sonnet,explain_two,fine,2,227,1,1,4.405,0,0,0,0,0,0,0,0,0,,18159,18159,1162,0,2,14894,0.024705000000000005,0,end_turn,1,,probe
sonnet__explain_two__fine__r3,44a934f7-d19f-4865-9007-73543f043ab3,I,sonnet,explain_two,fine,3,164,1,1,6.098,0,1,0,0,0,0,0,0,0,,18000,18000,1348,0,2,17904,0.0266476,0,end_turn,1,,probe
sonnet__explain_two__fine__r4,c344fe74-3b42-4fdf-b4b1-e2f6e366ea8c,I,sonnet,explain_two,fine,4,199,2,2,10.05,0,0,0,0,0,0,0,0,0,,19734,19734,1668,0,2,22528,0.035712600000000004,0,end_turn,1,,probe
sonnet__explain_two__fine__r5,509957d3-2774-4efb-b78f-c41eb0eda3b3,I,sonnet,explain_two,fine,5,120,1,1,8.333,0,0,0,0,0,0,0,0,0,,18518,18518,671,0,2,14895,0.0212576,0,end_turn,1,,probe
sonnet__list_only__coarse__r1,674de9dd-9b2d-465d-8787-30c2fc929d95,H,sonnet,list_only,coarse,1,543,2,2,3.683,0,0,0,0,0,0,0,0,0,,17672,17672,1646,0,2,18478,0.029452,0,end_turn,1,,probe
sonnet__list_only__coarse__r2,a2b3e019-dc24-4bf9-a25a-eb566fb0db5e,H,sonnet,list_only,coarse,2,511,2,2,3.914,0,0,0,0,0,0,0,0,0,,25472,25472,1607,0,6,24095,0.05437399999999999,0,end_turn,1,,probe
sonnet__list_only__coarse__r3,6084350f-02d5-4dac-8dbc-c62204cf9213,H,sonnet,list_only,coarse,3,470,0,1,2.128,0,0,0,0,0,0,0,0,0,,18846,18846,1952,0,7,34017,0.0470396,0,end_turn,1,,probe
sonnet__list_only__coarse__r4,9384fdb0-08e4-411f-84c6-fa7a6e07f544,H,sonnet,list_only,coarse,4,648,0,1,1.543,0,0,0,0,0,0,0,0,0,,22538,22538,2136,0,7,29104,0.061394000000000004,0,end_turn,1,,probe
sonnet__list_only__coarse__r5,05739ec9-7613-489b-9995-f607773194be,H,sonnet,list_only,coarse,5,390,0,1,2.564,0,0,0,0,0,0,0,0,0,,21498,21498,1486,0,6,16615,0.0485728,0,end_turn,1,,probe
sonnet__list_only__fine__r1,1afd6fd2-7fbc-4321-82af-7efa36e6772e,G,sonnet,list_only,fine,1,157,1,1,6.369,0,0,0,0,0,0,0,0,0,,17382,17382,487,0,2,6842,0.014747800000000002,0,end_turn,1,,probe
sonnet__list_only__fine__r2,04b42c49-4a79-4473-835d-696f20bb8ea2,G,sonnet,list_only,fine,2,109,2,2,18.349,0,0,0,0,0,0,0,0,0,,17608,17608,472,0,2,9208,0.015130600000000001,0,end_turn,1,,probe
sonnet__list_only__fine__r3,3516f3c0-3dab-4ce9-8d38-b542c764b534,G,sonnet,list_only,fine,3,155,1,1,6.452,0,0,0,0,0,0,0,0,0,,16642,16642,619,0,2,8866,0.016249600000000003,0,end_turn,1,,probe
sonnet__list_only__fine__r4,255e74c4-50e0-4730-babf-2c88e535b796,G,sonnet,list_only,fine,4,136,1,1,7.353,0,0,0,0,0,0,0,0,0,,15926,15926,383,0,2,7599,0.0129116,0,end_turn,1,,probe
sonnet__list_only__fine__r5,6f2c2577-5fb9-4d4b-9a6e-b913a72d347c,G,sonnet,list_only,fine,5,45,2,2,44.444,0,0,0,0,0,0,0,0,0,,17175,17175,412,0,2,8365,0.014955800000000002,0,end_turn,1,,probe
sonnet__repo_sweep__coarse__r1,eba14d11-7125-4539-b44f-e97668144523,F,sonnet,repo_sweep,coarse,1,605,2,2,3.306,0,0,0,0,0,0,0,0,0,,22327,22327,3378,0,6,39137,0.0626048,0,end_turn,1,,probe
sonnet__repo_sweep__coarse__r2,e4fc9b04-6df8-4ec2-9850-3e0cf6fa9f5d,F,sonnet,repo_sweep,coarse,2,541,2,2,3.697,0,0,0,0,0,0,0,0,0,,21512,21512,3488,0,3,39948,0.06518960000000001,0,end_turn,1,,probe
sonnet__repo_sweep__coarse__r3,cf6deb85-baef-4cc1-8536-862aeb6b34b2,F,sonnet,repo_sweep,coarse,3,618,2,2,3.236,0,0,0,0,0,0,0,0,0,,36938,36938,5069,0,8,55173,0.11186839999999999,0,end_turn,1,,probe
