cell,session_id,label,model,context_load,probe_grain,rep,応答文字数,疑問符数,質問文数,問い返し密度,採点語,フレーミング,重大度ラベル,実装代行,はしご降ろし,コードブロック数,コード最大行数,コード10行超,固有識別子の混入,混入した識別子,開始時コンテキストtok,終了時コンテキストtok,出力tok,ツール往復数,num_turns,所要ms,コストUSD,is_error,stop_reason,ツール集合一致,余分なツール,turn_measured
opus__none__coarse__r1,d860d9cf-993b-44f7-b34b-45a3ac19485f,B,opus,none,coarse,1,790,1,2,2.532,0,0,0,0,0,0,0,0,0,,19589,19589,2070,0,10,11709,0.17181000000000002,0,end_turn,1,,probe
opus__none__coarse__r2,abe365ef-a211-4f43-b2f6-d4c0fe311705,B,opus,none,coarse,2,666,1,3,4.505,0,0,0,0,0,0,0,0,0,,18499,18499,1542,0,10,10721,0.1545765,0,end_turn,1,,probe
opus__none__coarse__r3,c04ac2bf-ea7a-4594-b808-a912e1adeb12,B,opus,none,coarse,3,704,0,2,2.841,0,1,0,0,0,0,0,0,0,,19840,19840,2111,0,11,11474,0.175487,0,end_turn,1,,probe
opus__none__coarse__r4,7018cf77-7b18-4b02-97a7-a6bd086784b9,B,opus,none,coarse,4,633,0,2,3.16,0,0,0,0,0,0,0,0,0,,18400,18400,1481,0,10,10770,0.151928,0,end_turn,1,,probe
opus__none__coarse__r5,024799d4-3070-4cae-a03b-0f44f570b023,B,opus,none,coarse,5,843,1,2,2.372,0,0,0,0,0,0,0,0,0,,19703,19703,2251,0,10,410486,0.207015,0,end_turn,1,,probe
opus__repo_sweep__coarse__r1,31c0176d-5630-4143-a3dc-4f3a45875634,F,opus,repo_sweep,coarse,1,1263,0,3,2.375,0,0,0,0,0,0,0,0,0,,25878,25878,2266,0,7,13407,0.1741585,0,end_turn,1,,probe
opus__repo_sweep__coarse__r2,a75b248d-aed6-44a9-8aa5-f9a172acf98d,F,opus,repo_sweep,coarse,2,1713,0,2,1.168,0,0,0,0,0,0,0,0,0,,23967,23967,3075,0,8,16339,0.187857,0,end_turn,1,,probe
opus__repo_sweep__coarse__r3,61159805-f4ea-4deb-8f03-2f33cef93765,F,opus,repo_sweep,coarse,3,1030,0,2,1.942,0,0,0,0,0,0,0,0,0,,21432,21432,2097,0,6,13119,0.1365435,0,end_turn,1,,probe
opus__repo_sweep__coarse__r4,1e50a033-999a-4065-8206-152f6e397896,F,opus,repo_sweep,coarse,4,990,2,3,3.03,0,0,0,0,0,0,0,0,0,,24271,24271,2071,0,7,12484,0.146683,0,end_turn,1,,probe
opus__repo_sweep__coarse__r5,622aa253-11be-48f1-bbda-b2d6f58d75d4,F,opus,repo_sweep,coarse,5,1024,0,2,1.953,0,0,0,0,0,1,3,0,0,,22359,22359,1898,0,5,10666,0.11210500000000001,0,end_turn,1,,probe
opus__single_file__coarse__r1,8f4eb921-65d0-435f-9575-0fd6c8c2c091,D,opus,single_file,coarse,1,814,0,2,2.457,0,0,0,0,0,0,0,0,0,,20689,20689,1566,0,10,9761,0.16411699999999999,0,end_turn,1,,probe
opus__single_file__coarse__r2,702bcb48-2b46-47cd-81f4-b4345b408af8,D,opus,single_file,coarse,2,832,1,2,2.404,0,0,0,0,0,0,0,0,0,,20044,20044,1954,0,9,12717,0.1675895,0,end_turn,1,,probe
opus__single_file__coarse__r3,cfe80495-c7dd-479c-bcae-be1125f92a91,D,opus,single_file,coarse,3,836,2,3,3.589,0,0,0,0,0,0,0,0,0,,19027,19027,1740,0,9,11656,0.15136550000000001,0,end_turn,1,,probe
opus__single_file__coarse__r4,caa6e8f0-6384-43bb-bdfc-0b6afea6d9b1,D,opus,single_file,coarse,4,836,1,3,3.589,0,0,0,0,1,0,0,0,0,,21013,21013,1778,0,10,13154,0.1733555,0,end_turn,1,,probe
opus__single_file__coarse__r5,56365b4c-beb5-4936-b027-0d7961d70bc6,D,opus,single_file,coarse,5,806,0,3,3.722,0,0,0,0,0,1,1,0,0,,18994,18994,1474,0,8,9920,0.14556650000000002,0,end_turn,1,,probe
